name_original,name_corrected,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
PC 39:3,PC(39:3),PC(39:3),L34,NA,NA,NA,NA,NA,1
PC 39:4,PC(39:4),PC(39:4),L35,NA,NA,NA,NA,NA,1
PC 39:5,PC(39:5),PC(39:5),L36,NA,NA,NA,NA,NA,1
PC 39:6,PC(39:6),PC(39:6),L37,NA,NA,NA,NA,NA,1
PC 40:5,PC(40:5),"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008055,24778871,NA,C00157,NA,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC 40:6,PC(40:6),"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,24778876,NA,C00157,NA,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1
PC 41:6,PC(41:6),PC(41:6),L38,NA,NA,NA,NA,NA,1
PC 42:4,PC(42:4),"PC(18:3(6Z,9Z,12Z)/24:1(15Z))",HMDB0008191,53478821,NA,C00157,NA,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 42:5,PC(42:5),"PC(18:4(6Z,9Z,12Z,15Z)/24:1(15Z))",HMDB0008257,53478869,NA,C00157,NA,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 42:6,PC(42:6),PC(42:6),HMDB0008734,52923707,NA,C00157,NA,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC O-30:0,PC(30:0),PC(14:0/16:0),HMDB0007869,129657,NA,C00157,NA,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC O-32:0,PC(32:0),PC(16:0/16:0),HMDB0000564,452110,72999,C00157,5548,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,1
PC O-32:1,PC(32:1),PC(14:0/18:1(11Z)),HMDB0007872,24778618,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCC,1
PC O-34:0,PC(34:0),PC(14:0/20:0),HMDB0007878,24778633,NA,C00157,NA,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC O-34:1,PC(34:1),PC(14:0/20:1(11Z)),HMDB0007879,52922226,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,1
PC O-34:2,PC(34:2),"PC(14:0/20:2(11Z,14Z))",HMDB0007880,52922228,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,1
PC O-34:3,PC(34:3),"PC(14:0/20:3(5Z,8Z,11Z))",HMDB0007881,53478605,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC,1
PC O-36:1,PC(36:1),PC(14:0/22:1(13Z)),HMDB0007887,53478609,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,1
PC O-36:2,PC(36:2),PC(18:1(9Z)/18:1(9Z)),HMDB0000593,6437081,NA,C00157,5572,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,1
PC O-36:4,PC(36:4),"PC(14:0/22:4(7Z,10Z,13Z,16Z))",HMDB0007889,52922238,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC O-36:5,PC(36:5),"PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0007890,53478611,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC O-38:2,PC(38:2),PC(14:1(9Z)/24:1(15Z)),HMDB0007927,53478637,NA,C00157,NA,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC O-38:3,PC(38:3),"PC(16:1(9Z)/22:2(13Z,16Z))",HMDB0008020,52922473,NA,C00157,NA,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC,1
PC O-38:4,PC(38:4),"PC(16:0/22:4(7Z,10Z,13Z,16Z))",HMDB0007988,24778732,NA,C00157,NA,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC O-38:5,PC(38:5),"PC(16:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0007989,24778735,NA,C00157,NA,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC O-38:6,PC(38:6),"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0007991,6441886,NA,C00157,NA,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1
PC O-40:4,PC(40:4),"PC(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008054,24778868,NA,C00157,NA,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC O-40:5,PC(40:5),"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008055,24778871,NA,C00157,NA,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC O-40:6,PC(40:6),"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,24778876,NA,C00157,NA,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1
PC O-40:7,PC(40:7),"PC(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008090,24778901,NA,C00157,NA,CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1
PC O-42:5,PC(42:5),"PC(18:4(6Z,9Z,12Z,15Z)/24:1(15Z))",HMDB0008257,53478869,NA,C00157,NA,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,1
