iph_cir_fc,iph_hc_fc,iph_cir_p,iph_hc_p,metabolite
-1.156717438,-1.399649608,0.794433845,0.11441008,5-HETE
-1.388345884,1.095012266,0.088204694,0.980937754,x-HETE/EET
-1.483056205,1.090703743,0.157594858,0.999996517,x-HODE
1.063985481,1.197026893,0.999947723,0.661969878,13-HODE
1.234175889,1.938564557,0.490179992,8.91335E-05,x-HODE
-1.424810575,1.259282686,0.056596089,0.320135306,x-HODE
1.330077056,1.224807722,0.23668118,0.519797716,x-HODE
-2.242676539,1.153360451,0.007793593,0.999996517,x-OxoODE
-1.108307572,1.769152298,0.904291403,0.000228133,x-OxoODE
-1.117254531,-1.851285583,0.822488318,5.18223E-06,Sphingosine-1-phosphate
1.211958032,-1.861840862,0.704655067,0.002355375,Sphinganine 1-phosphate
-1.20257268,-1.35633945,0.201369767,0.008881337,PC(14:0/0:0)
-1.243807417,-1.407113936,0.1677984,0.009242797,PC(0:0/14:0)
1.067173481,-1.20483623,0.885441943,0.101689109,PC(15:0/0:0)
1.10318892,-1.225538786,0.719163151,0.099230518,PC(0:0/15:0)
-1.075871083,1.016980771,0.062806155,0.999996517,PC(16:0/0:0)
-1.069035425,-1.024556784,0.23101759,0.964448466,PC(0:0/16:0)
-1.970857716,1.046589605,0.000398095,0.999996517,PC(0:0/16:1)
-1.738418352,-1.018144497,0.000282593,0.999996517,PC(16:1/0:0)
1.430211753,1.091742548,0.056596089,0.989321272,PC(16:1/0:0)
1.249550331,-1.298847341,0.032507628,0.007680432,PC(16:1/0:0)
-1.058179395,-1.055479908,0.787556163,0.799908946,PC(0:0/18:0)
-1.075609027,-1.02011803,0.218744336,0.999996517,PC(18:0/0:0)
-1.141987209,1.050532788,0.09937814,0.849329178,PC(0:0/18:1)
-1.154961748,1.022176145,0.010017377,0.999996517,PC(18:1/0:0)
1.249711742,-1.178387874,0.524753306,0.743663951,PC(18:1/0:0)
-1.076859186,-1.002703453,0.588600605,0.999996517,PC(0:0/18:2)
1.233382358,1.197028843,0.06303876,0.132907863,PC(18:2/0:0)
1.140105745,1.062239937,0.77965917,0.999996517,PC(18:2/0:0)
-1.143134679,-1.276790767,0.836370372,0.326049465,PC(0:0/18:3)
-1.087466963,-1.208295766,0.938100004,0.415877735,PC(18:3/0:0)
1.206820348,-1.004289803,0.704274822,0.999996517,PC(18:3/0:0)
1.203139539,1.114883367,0.161839412,0.600379274,PC(0:0/20:0)
1.158635287,1.044461694,0.303941717,0.999996517,PC(20:0/0:0)
1.107430818,1.476359817,0.732306193,0.00034361,PC(0:0/20:1)
-1.112805545,1.152917461,0.654319909,0.347330201,PC(20:1/0:0)
-1.048495909,1.027816383,0.999947723,0.999996517,PC(20:1/0:0)
1.012293773,1.138150718,0.999947723,0.532564419,PC(0:0/20:2)
-1.009651872,1.138574374,0.999947723,0.554301862,PC(20:2/0:0)
-1.332621611,1.256908289,0.167586327,0.337940609,PC(20:2/0:0)
-1.093993247,1.106529067,0.827554899,0.736736631,PC(0:0/20:3)
-1.019419695,1.031250968,0.999947723,0.999996517,PC(20:3/0:0)
-1.304990684,-1.058071565,0.103260076,0.999996517,PC(20:3/0:0)
-1.25996764,-1.244274428,0.00561409,0.006874626,PC(0:0/20:4)
1.033834676,-1.062729557,0.996280486,0.77250039,PC(20:4/0:0)
1.103136917,-1.371465423,0.991020813,0.280484621,PC(0:0/20:5)
1.121245393,-1.337194363,0.93031045,0.281034377,PC(20:5/0:0)
-1.091828447,1.057159855,0.787556163,0.997370242,PC(0:0/22:4)
-1.246847417,-1.077208587,0.36802443,0.999996517,PC(22:4/0:0)
-1.145948602,1.244532644,0.666689483,0.216021784,PC(22:4/0:0)
-1.273492396,-1.197176047,0.028933689,0.141420884,PC(0:0/22:5)
1.03061392,-1.051470419,0.999947723,0.999996517,PC(22:5/0:0)
-1.33110854,1.081416858,0.043458391,0.935107289,PC(0:0/22:5)
-1.276872332,1.196348005,0.201369767,0.449137619,PC(22:5/0:0)
-1.100285751,-1.045334498,0.794433845,0.999996517,PC(0:0/22:6)
-1.05171801,-1.044970893,0.957674395,0.999996517,PC(22:6/0:0)
1.304054708,-1.174690786,0.011508295,0.197335971,PC(17:0/0:0)
1.447941887,-1.473117978,0.025503858,0.016118758,PC(0:0/17:0)
1.380492178,-1.020995419,0.010530471,0.999996517,PC(19:0/0:0)
1.510462201,1.069389192,0.00048013,0.939898847,LPC(22:0)
-1.076130683,-1.103900593,0.787556163,0.51818759,PC(17:1/0:0)
-1.123645606,-1.124049861,0.103260076,0.101001905,PC(0:0/17:1)
-1.058599324,-1.129244554,0.922648546,0.391871843,LPC(19:1)
1.292776917,1.70534791,0.144709964,0.000141755,LPC(22:1)
-1.14103094,-1.784577511,0.585463914,5.81616E-07,PE(14:0/0:0)
-1.227798267,-1.082986665,0.106495817,0.834009388,PE(0:0/16:0)
-1.221816809,-1.060034893,0.063412284,0.935331626,PE(16:0/0:0)
-1.741556431,-1.049159043,0.008602084,0.999996517,
2.017936283,-1.484350448,0.01118956,0.250262495,PE(16:1/0:0) 
1.068686629,1.03402392,0.916455351,0.999996517,PE(0:0/18:0)
1.059481351,1.023765328,0.93031045,0.999996517,PE(18:0/0:0)
1.485002814,1.192638426,0.017219312,0.490364963,PE(0:0/18:1) 
1.152502674,1.012448699,0.4458994,0.999996517,PE(18:1/0:0) 
1.194306073,-1.05758723,0.853596849,0.999996517,PE(18:1/0:0) 
1.139987425,1.040304121,0.447063705,0.999996517,PE(0:0/18:2)
1.575390604,1.320896164,0.003451397,0.101689109,PE(18:2/0:0) 
1.072868261,-1.246109694,0.999947723,0.339999901,PE(18:2/0:0) 
1.125200039,-1.281418354,0.921249336,0.390632309,
1.622380201,1.127151033,0.108962555,0.999996517,
-1.079098322,1.017854405,0.93031045,0.999996517,
1.163476425,1.066826322,0.552194623,0.999996517,PE(20:3/0:0)
-1.170511546,-1.199889315,0.085480608,0.035238416,PE(0:0/20:4)
1.080729792,-1.004431589,0.755651347,0.999996517,PE(20:4/0:0)
-1.078515017,-1.220554043,0.999947723,0.624824356,
-1.041806879,-1.289763067,0.999947723,0.364174274,
-1.078868942,-1.002344229,0.989951201,0.999996517,PE(0:0/22:4)
1.055400373,-1.011626237,0.999947723,0.999996517,PE(22:4/0:0)
1.177062928,1.056996457,0.303941717,0.999996517,
1.0898993,-1.004769902,0.882224867,0.999996517,
-1.566004852,-1.023320861,0.029037895,0.999996517,
-1.189503807,1.152822536,0.689863662,0.799908946,
-1.317523283,-1.24108868,0.044911685,0.149550622,PE(0:0/22:6)
-1.340944377,-1.283327312,0.030793956,0.08202202,PE(22:6/0:0)
-1.436607617,1.101696856,0.012607408,0.854466094,LPG(16:0)
-1.177800086,1.069571973,0.168825441,0.859550522,LPG(16:0)
-1.379110079,-1.105746213,0.017231741,0.789414211,LPG(18:0)
-1.300648612,1.127639604,0.007029768,0.364174274,LPG(18:1)
-1.349862156,1.184357199,0.00561409,0.181770974,LPG(18:1)
-1.019923024,1.221482337,0.999947723,0.392448922,LPG(18:2)
1.093044454,-1.054694558,0.922648546,0.999996517,LPG(20:4)
-1.331497688,1.392006847,0.224471154,0.128250938,LPI(16:0)
-1.737701794,1.195686141,0.009916801,0.711977685,LPI(16:0)
-1.267526024,-1.176266381,0.090135986,0.347139774,LPI(18:0)
-1.265767493,-1.173847241,0.088229026,0.347330201,LPI(18:0)
-1.103376599,1.055896888,0.89420806,0.999996517,LPI(18:1)
-1.160617715,-1.017077121,0.755651347,0.999996517,LPI(18:1)
1.253454935,-1.154313235,0.999947723,0.999996517,LPI(18:1)
-1.149670041,1.016914088,0.590813019,0.999996517,LPI(18:2)
-1.331753445,-1.057380115,0.120933199,0.999996517,LPI(18:2)
-1.384311676,-1.195080883,0.011508295,0.278212159,LPI(20:3)
-1.30327165,-1.260895278,0.021715215,0.053881269,LPI(20:4)
-1.198081018,-1.138283723,0.090703511,0.314073482,LPI(20:4)
-1.894060908,1.006993472,0.000155024,0.999996517,LPI(22:6)
1.123259138,1.169462186,0.823424885,0.569909712,PC(O-16:0/14:0)
1.052203366,1.076257602,0.999947723,0.999996517,PC(16:1e/14:0)
-1.021697799,1.241781034,0.999947723,0.175127137,PC(O-16:0/16:0)
-1.005532067,1.044242889,0.999947723,0.999996517,PC(16:1e/16:0)
1.042661835,1.063402688,0.999947723,0.999996517,PC(34:0e)
1.009999577,1.285298007,0.999947723,0.06539458,PC(34:1e)
1.389784577,-1.301407471,0.142076135,0.302371029,PC(O-16:0/18:2)
1.154064081,-1.00209206,0.589228246,0.999996517,PC(16:1e/18:1)
1.472172583,-1.083627335,0.010530471,0.964448466,PC(16:1e/18:2)
1.144132189,1.525371569,0.737773979,0.00562674,PC(18:1e/18:1)
1.452542149,-1.538978468,0.333448049,0.200423346,PC(O-18:0/18:2)
1.384358897,1.045992763,0.071472437,0.999996517,PC(18:1e/18:2)
-1.023217804,-1.2690046,0.999947723,0.177212275,PC(O-16:0/20:3)
1.445339051,-1.094051611,0.020167381,0.935331626,PC(36:3e)
1.076697087,-1.110324954,0.879050773,0.646884238,PC(O-16:0/20:4)
1.122723705,-1.194845236,0.834717164,0.465214441,PC(16:1e/20:3)
1.078428038,-1.219307363,0.845924616,0.096369411,PC(16:1e/20:4)
1.079035793,1.180528103,0.921249336,0.358750247,PC(38:4e)
1.015389734,1.070084176,0.999947723,0.854466094,PC(O-16:0/22:4)
1.065118913,-1.113906545,0.9384924,0.677437189,PC(O-18:0/20:4)
-1.423171906,-2.88346631,0.921249336,0.128776016,PC(18:1e/20:3)
1.062199797,1.136702889,0.903457013,0.336475482,PC(18:1e/20:4)
1.138028618,-1.108416269,0.622276798,0.753231956,PC(18:1e/20:4)
1.111234254,-1.264382144,0.745897812,0.086210709,PC(18:1e/20:4)
-1.391742321,-1.091896584,0.114192261,0.999996517,PC(18:2e/20:4)
-1.021016042,-1.203715379,0.999947723,0.364174274,PC(16:1e/22:6)
1.165606257,1.010621146,0.65418438,0.999996517,PC(O-18:0/22:4)
1.122892696,-1.071046525,0.755651347,0.999183972,PC(O-20:0/20:4)
1.10422026,1.203348717,0.724008008,0.15723609,PC(18:1e/22:4)
1.095656005,-1.064078598,0.837533942,0.999183972,PC(40:5e)
1.115643794,1.039110155,0.844735086,0.999996517,PC(22:1e/20:4)
1.38050825,1.187025115,0.180799471,0.711977685,PC(42:6e)
1.104608785,1.009196645,0.778687267,0.999996517,
1.047248622,1.060488029,0.999947723,0.999996517,
1.206709368,-1.175700672,0.58066084,0.664462197,PE(O-16:0/18:1)
1.501070539,-1.180624641,0.176139525,0.864727886,PE(16:1e/18:2)
1.215384825,-1.242525648,0.647389822,0.48992183,PE(18:1e/18:1)
1.209788623,-1.709627624,0.669345631,0.007284059,PE(16:1e/20:4)
1.623536003,-1.060733233,0.054481231,0.999996517,PE(20:1e/18:2)
1.413914264,-1.606536483,0.185738986,0.038664088,PE(18:1e/20:4)
1.297020469,-1.606440605,0.334644548,0.015443887,PE(18:2e/20:4)
1.034240195,-1.594266595,0.999947723,0.003874042,PE(16:1e/22:6)
1.202646039,-1.232319788,0.384832212,0.256736191,PC(17:1e/20:4)
1.154715434,-1.059077156,0.787556163,0.999996517,PC(17:1e/20:4)
1.298438003,-1.519797977,0.301990844,0.033135349,PE(20:1e/20:4)
1.330181588,-1.459337964,0.16906512,0.040622055,PE(40:6)
1.66767694,-1.092383504,0.079442152,0.999996517,PE(18:1e/18:2)
1.04356066,-1.026997825,0.953606676,0.999996517,PC(O-16:0/0:0)
