"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"Acetylcarnitine",0.016402,-0.05205,-0.010108,0.057203,0.0021036,-0.034833,0.029924,0.076415,0.091581,-0.02073,-0.0055339,0.014906,0.060192,-0.0033266,-0.052659,0.14384,-0.07504,-0.018129,0.012583,-0.14721,0.041936,0.039466,0.024964,-0.04202,0.10424,-0.0070452,0.15155,0.078351,-0.082096,-0.071094,0.05111,-0.056577,-0.064496,0.053107,-0.099856,-0.17734,0.22333,-0.21469,-0.062281,0.11335,-0.10261,-0.14779,0.10551,0.025694,-0.015014,-0.067239,-0.075426,0.10729,0.089423,-0.070053,0.17687,0.11293,-0.15683,-0.025412,-0.016029,-0.019553,-0.021926,-0.1442,-0.052843,-0.10851
"Aconitic acid",0.00018593,0.020712,0.038588,0.035386,0.049383,-0.0057787,0.003098,-0.033512,-0.037134,-0.00014189,0.011637,-0.0059696,0.057455,0.029079,0.03059,-0.010716,0.049459,0.006976,-0.017037,0.0086496,-0.0053456,-0.029471,0.017518,0.012418,0.029147,0.01752,-0.0083355,-0.033856,-0.038597,0.045886,-0.0054622,-0.051696,0.057225,0.10875,-0.0011259,0.0025303,0.042001,-0.10255,0.0066967,0.03051,-0.099937,0.021925,0.046645,-0.00024162,-0.076247,-0.070354,-0.040037,0.10484,-0.0093072,0.05695,0.025121,-0.00060301,-0.012401,0.067044,-0.10546,0.12214,-0.010266,-0.041948,0.0061702,0.027058
"Adenine",0.035666,0.0097389,0.10203,-0.07198,-0.037965,-0.058083,0.13649,-0.049056,-0.083096,0.085416,-0.039398,-0.11028,0.11788,-0.13109,0.011786,-0.011966,0.10066,0.060417,-0.064495,0.042563,-0.066247,-0.058762,-0.078368,-0.092318,-0.1342,-0.23744,0.092338,-0.052422,-0.027717,0.20114,0.29054,0.089182,0.012661,-0.024682,0.036069,-0.039632,0.024724,0.018327,-0.21619,0.042882,0.17754,-0.16623,-0.22009,-0.076544,-0.023861,0.15801,-0.084687,0.078339,-0.066068,0.11839,0.042304,0.10218,0.068916,0.042731,-0.092523,-0.14379,-0.033516,-0.036206,-0.029685,0.10023
"Adenosine cyclic monophosphate",0.01264,-0.016558,0.0049241,0.040037,0.021431,-0.0087536,-0.05408,-0.00096415,-0.045699,0.068004,0.003863,0.043347,0.087808,-0.067028,0.083304,0.13457,-0.054384,-0.17913,-0.0061092,-0.10648,-0.047288,0.12311,0.080123,-0.014713,0.072336,0.24208,-0.1076,0.27144,0.11784,0.10349,0.1669,0.076407,0.052368,-0.010487,-0.0044562,0.18426,0.041153,0.015109,-0.087683,0.030098,-0.061072,-0.098936,0.12738,-0.031286,-0.059592,-0.10921,0.064986,-0.18244,0.020263,0.14388,0.054682,-0.0030048,-0.020457,-0.064729,0.17336,0.01713,0.032791,-0.019727,-0.08184,-0.0033619
"Adenosine monophosphate",-0.031181,0.045516,-0.18645,-0.0018859,-0.095924,0.01034,-0.056505,0.017361,-0.10658,-0.057806,-0.088415,0.028335,-0.033712,0.07013,0.070125,0.039108,0.055469,0.017877,-0.045042,-0.042668,0.035473,-0.029222,-0.076768,0.05215,-0.033207,0.092503,-0.0011599,0.082205,0.098557,-0.074912,0.039047,-0.099574,0.013969,-0.10348,0.12379,-0.035314,-0.11878,0.047216,0.12583,-0.1655,0.2492,-0.14256,-0.11809,-0.097804,0.12748,-0.0056223,-0.043866,-0.0044911,0.031781,-0.032394,-0.012966,-0.081082,-0.014977,0.20193,0.0075642,0.065857,0.18236,-0.029669,-0.086351,-0.14745
"Adenosine triphosphate",-0.011024,0.021813,-0.039691,0.055405,-0.0094191,0.077425,-0.030725,0.047609,-0.0071685,-0.023928,0.024709,0.064287,-0.018466,-0.018173,-0.012903,-0.00017318,0.062794,-0.021021,-0.17658,-0.0097983,0.0123,0.036414,0.086712,-0.0087271,0.0034977,0.018421,0.067277,-0.021787,0.050605,0.026965,0.0069792,0.0044136,-0.0090003,-0.042093,0.032515,0.0905,-0.15095,0.044385,0.024197,0.043249,0.018293,0.10498,0.0091808,-0.039348,0.088564,-0.0334,0.12378,0.21797,0.087145,-0.025926,-0.067182,-0.030603,0.054856,0.030266,0.1476,0.038148,-0.019416,-0.040648,0.035937,0.0044225
"Adipic acid",0.027089,-0.066207,0.065741,-0.081305,0.1003,0.13779,0.075448,-0.11207,0.054591,0.078336,-0.03919,-0.045476,-0.081268,-0.076477,-0.045527,0.14139,0.010401,-0.11103,-0.070376,0.03077,0.10473,-0.071024,0.011853,-0.049389,0.037263,-0.044425,0.034435,0.036633,-0.010226,0.056765,-0.0069955,-0.0045931,-0.045272,0.047477,0.085055,-0.032758,-0.070356,0.084475,0.022421,-0.10285,-0.044704,-0.076907,0.068456,0.15399,-0.0461,-0.10388,-0.056688,0.05725,-0.14289,0.024686,-0.022929,-0.010159,0.041502,-0.096823,-0.062139,0.1669,-0.15376,-0.092631,-0.074752,-0.072806
"AICAR",0.032471,-0.013072,0.058485,-0.04783,-6.261e-05,-0.043464,0.08916,-0.017246,-0.050972,0.12941,0.04062,-0.11321,0.018198,-0.0028481,-0.045519,0.026922,0.073089,-0.062428,0.14756,0.17427,0.04221,0.054854,-0.024552,0.094125,0.002168,0.063812,-0.050769,0.078444,0.10228,-0.14283,-0.23637,0.074723,-0.12725,-0.0049277,0.013287,-0.12805,-0.017585,-0.16341,0.06191,0.10241,0.1887,0.081568,-0.02398,0.061311,-0.042143,0.05815,0.01607,-0.028923,-0.0089374,0.081321,-0.089432,-0.029607,-0.034943,-0.0055305,-0.051444,-0.12574,-0.064615,-0.022938,-0.092904,0.15252
"Alanine",-0.0036279,-0.0075277,-0.025925,0.011548,-0.012083,-0.0024975,-0.022028,-0.01886,-0.026235,-0.019028,-0.0094222,0.0051474,0.013715,0.0064329,0.030206,0.015581,0.0008258,-0.029918,-5.5088e-05,0.022195,0.017749,-0.03757,-0.012909,-0.034013,0.0038129,0.030679,-0.036029,-0.016006,0.0097979,0.017111,0.067278,0.007607,0.02131,-0.041925,0.066634,0.034442,-0.038222,0.0089064,-0.0068182,0.024909,-0.0011774,-0.073811,-0.0026508,0.0036527,-0.069642,0.024589,0.009195,0.0091852,-0.076751,0.070208,-0.074981,0.063271,-0.026352,0.14382,-0.024289,0.095147,0.10745,-0.015087,0.031965,0.12712
"Allantoin",-0.026119,0.040253,-0.011947,0.018274,-0.043102,0.026895,-0.043522,0.035346,-0.04472,0.028077,-0.0091817,-0.05564,-0.047795,-0.03971,-0.015377,0.066569,0.013089,0.015782,-0.0059089,0.035717,-0.050693,-0.0099899,0.01132,0.010773,0.019557,-0.0053693,0.034435,-0.06248,0.041519,0.020913,0.036641,0.029186,0.035574,0.060597,-0.0055693,-0.057578,0.034075,0.10034,0.045304,0.076806,0.084561,0.079488,-0.0038356,-0.13285,-0.0956,-0.039096,0.085184,0.011897,0.039331,0.1488,-0.012519,-0.20917,-0.06191,-0.0084777,0.13349,-0.10417,-0.068019,0.10759,0.033475,0.14809
"alpha-Ketoglutaric acid",0.10815,-0.19536,0.067078,0.037104,-0.0060452,0.080477,0.073899,-0.026035,0.013755,-0.029136,-0.060134,-0.034545,-0.016972,-0.03952,-0.051217,0.098554,0.11472,0.089612,0.019133,-0.071747,0.12163,-0.0056796,0.024976,-0.10458,0.001143,-0.033436,0.12361,0.052387,0.049668,-0.058144,0.027081,-0.057327,0.072838,0.11368,0.11284,-0.011267,-0.04531,-0.092798,0.057253,-0.082182,-0.042147,-0.069438,-0.033134,0.18671,0.14004,0.099623,-0.070485,-0.012276,0.091763,0.039519,0.056578,0.034188,-0.077258,0.15796,0.11086,-0.010932,0.03074,0.074579,0.05391,-0.0050048
"Aminoadipic acid",-0.011687,0.02885,0.009745,-0.015586,0.06016,0.0088276,-0.10896,-0.041564,0.053819,-0.0051219,0.051417,0.050522,-0.082914,-0.043259,0.036408,0.068245,-0.034182,-0.071667,-0.041586,-0.1211,0.08413,-0.052128,-0.013872,-0.18868,-0.0024473,-0.1143,-0.080984,0.017543,-0.005364,0.021647,0.099202,0.0010712,0.0043449,-0.03881,0.079614,0.048817,0.17999,0.036159,-0.020322,-0.029432,-0.078318,0.064427,0.048547,0.0018568,0.031366,-0.099178,0.066424,0.030221,-0.13777,-0.045452,-0.022306,-0.01078,0.06635,0.033356,-0.12022,-0.042703,-0.0068285,0.20485,0.22612,-0.0020091
"Anthranillic acid",-0.06808,0.19625,0.019884,0.077064,0.078953,-0.10006,-0.019519,0.078068,0.029618,-0.041333,-0.096632,-0.025094,-0.014936,-0.017939,0.0082951,-0.054932,-0.0066625,0.18137,0.023795,-0.07741,-0.14201,-0.14773,-0.15945,-0.10775,-0.22965,-0.0058171,-0.14375,0.15023,0.020344,0.048547,0.025161,0.00077227,-0.0015641,-0.0034024,-0.053606,-0.22368,-0.064787,-0.026033,-0.2602,0.0047189,-0.0043689,0.014259,-0.0097431,-0.074188,0.082634,-0.044349,-0.08591,0.0063481,0.083246,-0.1381,0.10345,0.035315,0.020624,-0.0013925,0.14426,-0.039307,-0.13853,0.11158,-0.14145,-0.062597
"Arabitol",0.030687,0.010214,0.080382,0.026224,-0.048536,-0.0042979,0.089348,0.028877,0.012195,0.036619,-0.015891,-0.01107,0.020146,-0.0099639,-0.048808,-0.04955,0.10785,-0.0035018,0.028479,0.064995,0.0078086,0.11045,0.0063751,-0.0206,0.091922,-0.041088,0.067305,0.014152,0.010393,0.012876,-0.041799,-0.026427,-0.066861,-0.04163,0.097159,0.072611,0.00038222,0.028967,-0.082905,-0.079915,0.021962,0.095646,0.11758,0.048075,0.069994,0.15606,-0.071669,0.030091,-0.15179,-0.042816,0.021517,0.039977,-0.20275,-0.15858,0.11484,0.13751,-0.01001,0.050814,0.017019,-0.0017833
"Arginine",0.063854,0.079348,0.098954,-0.055255,0.15575,0.036076,0.10137,0.026716,0.16221,-0.11488,-0.12541,-0.039257,-0.23739,0.096313,-0.036746,0.21555,-0.16339,-0.068774,-0.23121,-0.16299,-0.15895,0.29538,-0.12279,0.062932,-0.027216,-0.17692,-0.17385,0.068047,-0.032464,-0.1082,-0.084834,0.0082934,0.018187,-0.085455,-0.13734,-0.019632,-0.011542,0.013751,0.069156,0.10757,0.15744,-0.013576,-0.23371,0.15293,0.026581,-0.16199,-0.10434,0.089813,-0.097289,0.11459,0.067198,-0.063651,-0.0026409,0.03097,-0.13369,-0.040719,-0.0057211,-0.013778,0.013802,0.040377
"Argininosuccinic acid",0.018569,-0.0055423,0.027554,0.030765,0.020061,0.052296,0.0083309,-0.0017204,-0.0080003,0.014398,0.028131,-0.0045714,-0.0034186,0.045484,-0.087272,0.027692,0.011012,-0.016238,-0.012433,-0.035244,-0.13815,-0.057184,0.056298,0.0033103,0.045811,0.0032885,0.073818,0.039904,0.017721,0.033582,0.05155,0.082314,-0.068287,-0.16852,0.03506,-0.066045,0.053668,-0.0057528,-0.062185,-0.085808,-0.025047,0.047134,-0.0019776,0.046752,-0.10889,0.043072,0.22132,0.14006,-0.049403,-0.22908,0.20788,-0.19998,-0.034913,-0.025623,0.053986,-0.081176,0.066217,0.016698,-0.18882,0.10943
"Asparagine",-2.9441e-05,-0.018073,0.008365,0.030811,0.0069215,-0.020261,-0.022546,0.026138,-0.018478,0.0063881,-0.01466,0.038772,0.042697,0.0058279,-0.0048837,0.018921,-0.0073088,0.05801,-0.026232,0.012633,0.025142,-0.03506,0.039305,-0.047643,0.038952,0.018356,-0.063951,-0.03571,-0.070881,0.024257,0.023079,0.017025,-0.09197,-0.010727,-0.026112,-0.055652,-0.0013396,-0.030854,0.06605,-0.049013,0.070591,-0.00094241,0.14433,-0.063807,-0.095111,0.070826,-0.097865,-0.064498,0.054009,0.031649,-0.0488,-0.10881,0.10442,0.032976,-0.072744,-0.055763,-0.083575,0.073551,0.1045,-0.034299
"Aspartic Acid",-0.049201,0.15833,0.048625,0.029498,-0.010793,-0.013189,0.0049594,0.029773,-0.056805,-0.023958,-0.027691,0.0094429,-0.076192,0.025007,0.0084446,-0.042176,-0.018396,0.053983,0.0056871,0.011581,0.011032,-0.011615,0.0005743,0.066825,0.056056,0.012355,-0.022974,0.011414,0.079063,-0.092024,0.059595,-0.086748,0.073247,0.090116,0.027207,0.10164,-0.0459,-0.072496,-0.056447,0.048855,0.060377,0.063877,0.047959,-0.02634,0.12155,0.064934,0.033351,-0.04702,-0.030603,0.027646,0.065198,-0.0052447,-0.028635,-0.067996,-0.19347,-0.018846,0.018525,-0.099117,0.024009,-0.11327
"Butyrylcarnitine",-0.0056025,0.039065,-0.060242,0.085419,-0.036216,0.093249,-0.0010296,-0.0013964,0.026997,-0.0016768,0.045683,-0.11495,0.058,0.01702,-0.079388,-0.055309,0.034329,-0.098761,-0.022861,-0.035098,0.023332,0.099224,0.024238,0.016891,0.017752,-0.05553,-0.062008,-0.043299,-0.032704,-0.0085265,0.019953,-0.012813,-0.022358,0.076854,-0.10907,0.053981,0.07317,0.034682,-0.17203,0.081165,-0.034506,-0.080404,-0.12593,0.069625,0.047453,0.016319,0.014799,-0.019431,0.062182,-0.031444,-0.020058,0.05572,-0.028313,-0.0054441,0.010277,0.01786,0.01905,0.052869,0.051402,-0.022717
"Carnitine",-0.001853,0.01349,0.0097311,0.025894,-0.013501,-0.0062749,0.017835,0.016707,-0.022876,-0.0034208,0.04282,-0.043189,-0.011176,-0.0011534,-0.018889,-0.0134,-0.021533,-0.018089,-0.027234,-0.024361,-0.016307,-0.0088516,0.021196,0.0082325,0.073876,-0.002016,0.1058,0.033165,-0.056854,0.0048813,0.032095,0.045937,0.0056625,0.057331,0.090285,-0.017713,-0.090136,-0.0044177,-0.039893,0.050381,-0.046469,-0.0093064,0.077167,0.050829,0.054168,0.096905,0.055469,0.049369,0.044548,0.04848,0.11353,-0.012534,0.00085542,0.11416,0.045,-0.0025014,0.060065,-0.025314,-0.056133,0.1689
"Cholic acid",-0.02063,0.029339,-0.00097007,0.035119,-0.007512,0.0091918,-0.025736,-0.0056603,0.017327,0.0020198,0.011121,0.0087931,0.048,-0.024702,-0.01005,0.032818,-0.0029457,-0.00020034,-0.042389,0.038649,-0.018538,-0.066712,-0.046049,-0.049685,-0.011099,0.012735,-0.035511,-0.0039702,-0.052217,-0.040958,-0.0099881,0.02428,-0.038813,-0.046863,-0.012285,0.02318,-0.061484,-0.0070587,0.095352,-0.026404,0.058364,0.022236,0.060373,0.12897,-0.030981,0.11352,0.0762,-0.015504,0.014565,-0.009418,0.099228,0.017826,0.07343,-0.041065,-0.12818,-0.12299,0.21333,-0.065589,0.099085,-0.0028235
"cis-Aconitic acid",-0.0081261,0.035244,0.064322,0.024933,0.048402,-0.086299,0.003967,-0.12944,-0.13903,0.054337,0.029564,-0.12733,0.11007,0.0128,0.024717,-0.13947,0.17608,0.056141,-0.010619,-0.022052,-0.067499,-0.060216,0.024912,0.07342,0.13322,-0.012219,-0.17816,-0.030413,-0.020024,0.10963,-0.046708,-0.059859,0.18114,0.17391,-0.024228,-0.2611,0.12206,-0.05731,0.020622,-0.050095,-0.13625,0.15577,0.0012739,0.058263,-0.068322,-0.2277,0.072894,0.11869,0.026654,0.12205,-0.0011317,-0.066995,-0.067695,0.12615,-0.047441,0.00055693,0.0237,-0.0077318,-0.047543,-0.030325
"Citramalic acid",-0.039654,0.13316,0.04719,0.0053521,0.0044158,0.0091527,-0.020597,-0.056401,0.015695,0.063468,-0.0048126,0.02829,0.0082171,-0.032737,0.054499,0.0022596,0.00092468,-0.023472,-0.084342,0.067577,-0.079888,-0.10163,-0.030826,-0.035013,-0.00098186,0.0047287,-0.0073931,-0.09368,-0.045231,0.012839,-0.024934,0.069429,-0.087875,-0.094291,-0.051824,0.057532,-0.031759,-0.098069,0.072568,-0.093315,-0.042205,0.023715,0.064096,0.037531,-1.7452e-05,-0.0443,-0.066851,-0.03035,0.088962,0.13822,-0.014706,-0.050827,-0.059306,0.0072623,-0.12939,0.043135,-0.032509,0.090752,0.047787,-0.13768
"Citric acid+Isocitric acid",0.00088782,0.01491,0.024144,0.022172,0.021423,-0.0042945,-0.0098362,-0.020349,-0.016152,0.0058845,0.035053,-0.037707,0.089138,-0.003703,-0.0048187,-0.0020124,0.07025,0.056485,-0.026507,-0.0073665,-0.017004,-0.015756,0.012462,0.019803,0.10118,-0.01511,-0.047625,-0.023532,0.069379,0.034181,-0.036414,0.00492,0.076603,0.0065866,-0.015145,-0.0019292,0.0039393,-0.057494,0.038769,-0.071431,-0.014852,0.031266,-0.038755,-0.029331,-0.016463,-0.063554,-0.15228,0.046971,0.063103,0.027412,-0.02937,0.072194,-0.029738,0.024313,0.071281,-0.031796,0.054776,-0.11156,-0.021728,-0.011386
"Citrulline",-0.003485,0.017406,0.04504,-0.042567,-0.013399,-0.015117,0.056738,-0.012996,-0.0087594,-0.028505,-0.024681,0.075509,0.03591,0.011182,0.10334,0.026517,0.057249,0.023751,0.091069,0.0033783,-0.10414,-0.093377,-0.01592,0.038825,0.019863,0.0095313,0.074566,0.048423,-0.036492,-0.032764,-0.050105,0.069439,0.02914,-0.017648,0.053368,-0.032143,-0.097668,-0.029346,-0.096781,0.046944,-0.054533,0.29092,-0.043322,-0.089027,0.19391,-0.14156,-0.038072,-0.05333,-0.15806,-0.0046699,0.1544,0.027945,0.096695,0.014771,-0.10537,0.099456,-0.00041989,-0.078603,-0.090364,-0.0066998
"Creatine",-0.0033735,0.034257,-0.081388,-0.01284,0.008053,-0.01698,-0.12481,0.027848,0.23274,0.063268,0.094813,-0.12457,-0.18597,0.0043157,0.056847,-0.17968,0.15249,0.15584,-0.074735,0.018119,0.016583,0.10381,0.1685,-0.013042,-0.065091,0.20584,0.18836,0.14698,-0.16926,0.20857,-0.031174,0.067548,0.079811,-0.036573,0.095245,0.064998,-0.043965,-0.097055,-0.070491,0.063783,0.13002,-0.081723,0.008044,-0.047299,-0.044722,-0.056905,0.032448,0.096867,-0.010843,0.042883,-0.045838,0.096516,0.078858,0.015065,-0.047929,-0.0093902,0.062555,0.034536,-0.021546,-0.091664
"Creatine phosphate",0.012032,-0.025178,0.1206,0.0019085,0.059928,0.068461,-0.13658,0.0065705,0.26586,0.057922,0.050767,-0.011756,-0.005005,0.25683,-0.13605,-0.025753,-0.064589,0.297,-0.03503,0.24654,0.23413,0.069242,0.016208,0.14072,-0.062913,0.016943,-0.0090622,-0.024135,0.12413,0.011033,0.10192,0.011287,-0.003007,0.06713,0.16947,-0.27012,-0.0053868,-0.0024209,0.011412,-0.040664,0.12881,0.089077,-0.073004,0.11469,0.011445,-0.10215,-0.0038974,-0.12857,-0.0032241,-0.069849,0.0086237,0.061413,0.032188,0.0009144,0.024244,0.049344,0.032472,-0.058173,0.04799,0.050909
"Creatinine",0.0048353,-0.0042171,0.0034277,-0.0083927,-0.016751,-0.019888,0.020584,-0.0033184,-0.012294,0.050462,0.040318,-0.0058034,0.014414,-0.046776,0.032721,0.013749,0.034106,0.0089029,0.013853,-0.0074806,-0.016736,-0.035468,-0.035749,-0.0043035,0.0098159,0.050942,0.031501,-0.01633,0.00046169,0.010201,0.034341,0.035129,-0.018411,-0.10051,-0.024575,-0.036499,0.051275,0.003537,0.03029,-0.077417,0.089476,0.062194,0.032989,-0.061321,0.060335,-0.010266,0.10255,-0.045836,-0.014338,-0.020804,-0.040468,-0.096159,-0.0010554,0.029712,0.059155,-0.027955,-0.16531,-0.17589,-0.16924,-0.067744
"Cystine",0.0014518,-0.15896,0.009481,-0.022267,-0.10765,0.090577,0.064846,-0.074432,-0.0039571,-0.063214,0.10891,0.13889,-0.21436,0.29865,0.33923,0.092271,-0.14599,-0.16577,0.26026,0.24321,0.079979,0.12126,0.0071288,-0.11106,-0.13883,-0.058113,0.065108,-0.057645,-0.11242,0.039309,0.014727,-0.1108,0.20153,0.049524,-0.20676,-0.055945,0.0025936,-0.019135,-0.046374,-0.068871,0.042238,0.055526,0.036706,-0.057876,-0.075132,0.00052836,0.063166,0.060035,0.023052,-0.039892,-0.027344,0.095968,-0.02241,0.0048752,0.052191,-0.033095,-0.052375,0.026872,-0.13829,-0.024435
"Cytidine",-0.056081,0.096209,0.19687,-0.17964,-0.090902,-0.15167,-0.089544,0.092051,0.12891,-0.16683,-0.19673,-0.14083,0.20819,0.34682,-0.21102,0.034019,0.19688,-0.29519,0.13153,0.0014339,-0.047674,0.096141,0.24963,-0.084701,0.057061,-0.056831,0.024244,-0.0044681,-0.20775,-0.091424,0.020424,0.20081,0.034615,0.024201,0.10934,-0.043865,0.039799,0.099539,0.09822,-0.12599,-0.0048432,-0.060681,0.023055,-0.14426,0.10561,0.081411,-0.079909,0.023395,-0.032789,0.03577,-0.032661,0.0086579,0.067139,0.018423,0.043135,-0.097378,-0.027585,0.0011997,0.018923,-0.049486
"Deoxyadenosine",0.031535,0.0053654,0.10753,0.019381,0.13476,0.12371,0.0041178,-0.14402,0.081049,-0.13089,-0.018896,-0.024606,-0.024594,-0.12525,0.12621,0.064794,0.12153,0.040981,-0.13689,0.025223,0.1426,0.047358,0.040275,0.079691,-0.10892,0.11883,-0.023223,0.047282,-0.012278,-0.20297,0.13092,0.11939,-0.071192,-0.043102,-0.096206,-0.1113,0.20125,0.16971,-0.081295,-0.24764,-0.032944,-0.0047202,-0.011041,0.015779,0.17745,0.068296,0.11802,-0.17386,0.028106,0.012582,-0.0027287,-0.020378,0.072096,-0.0060817,-0.062806,0.034643,-0.018318,0.061552,-0.072264,0.029247
"Deoxyadenosine monophosphate",0.021635,0.049969,-0.025927,0.018986,0.012785,0.0077613,0.070336,0.05859,0.023591,-0.0011228,-0.088439,0.018586,0.034403,-0.12139,0.05537,0.039545,0.013929,-0.0223,-0.035575,-0.026174,-0.025228,0.089591,-0.051994,-0.0034687,0.34371,0.21976,0.11764,-0.19816,-0.23027,-0.037445,-0.10699,-0.18427,0.18589,0.050029,0.062187,-0.12958,0.06498,-0.085357,-0.17746,-0.070237,0.081758,0.0046646,-0.16593,0.029669,-0.10419,0.0028092,0.066511,-0.20989,-0.12256,0.037321,-0.0027824,-0.057652,0.08542,-0.0026372,0.016501,0.0033476,-0.086585,0.093369,0.1008,-0.054027
"Deoxyadenosine triphosphate",0.010632,0.049174,-0.038521,0.0052106,0.023184,-0.086046,0.061732,0.029204,-0.028845,-0.099787,0.19024,-0.030158,0.12547,0.18806,0.002571,-0.20038,-0.074958,0.10698,-0.096189,-0.27745,0.16686,0.06932,0.15468,-0.23964,-0.11824,0.024502,0.20652,-0.14997,0.16491,-0.052003,-0.08459,-0.035716,-0.1875,-0.12991,-0.027714,0.021942,-0.088114,-0.011257,-0.0041805,0.052456,-0.11756,0.065802,-0.2368,-0.084525,-0.06312,-0.044581,0.11463,-0.15743,-0.13418,0.1251,-0.078168,0.044881,-0.079121,-0.094006,-0.055417,-0.076327,0.031435,-0.086239,-0.076151,0.0052797
"Deoxycholic acid",-0.0019226,0.023569,-0.015152,0.045533,-0.0092842,0.013513,-0.030806,-0.010672,-0.00292,0.012298,0.019914,0.018316,0.01035,-0.052586,-0.015111,-0.010211,0.031124,-0.021497,-0.028669,0.065781,-0.017964,-0.022646,-0.042747,-0.074111,-0.018121,-0.018527,-0.0024561,-0.042588,0.002488,-0.025051,0.029904,0.0060463,-0.011148,-0.034668,-0.033325,0.065692,-0.085673,0.062646,-0.087951,-0.047133,-0.015716,-0.045515,0.0029289,0.057601,-0.037855,0.075163,-0.0078235,-0.060537,0.0061541,0.014595,-0.017175,0.10998,0.15859,0.022958,-0.0049162,-0.074533,0.03668,0.096051,-0.038335,0.045121
"Deoxyinosine",-0.0082543,0.0067677,-0.017265,-0.018151,0.07327,-0.0040824,0.027878,-0.013173,0.035318,-0.032446,-0.019539,0.044955,0.025241,-0.015114,0.042413,0.036627,0.0080698,-0.016355,-0.042087,-0.019853,-0.0053239,-0.0091993,0.012448,-0.012934,0.042458,0.043586,-0.00056353,0.047572,0.038091,0.07611,-0.10484,-0.037849,-0.10559,0.0072025,-0.012408,0.099704,-0.0050083,-0.037883,-0.041964,-0.0091249,0.16101,0.0039564,0.023464,0.073432,0.020889,0.0076264,-0.022789,0.056581,0.060822,0.01379,-0.13454,0.028878,0.079212,-0.048818,-0.12183,0.064102,-0.046922,-0.059983,-0.05931,0.010882
"Deoxyribose",0.0057914,-0.024738,0.099529,0.050455,-0.068788,-0.092561,0.085027,0.093692,-0.040687,-0.038331,-0.24671,-0.0083805,0.10636,0.048745,0.21015,0.056582,-0.039052,0.062937,-0.061481,0.15027,-0.11461,-0.077699,0.19676,-0.077282,-0.18826,-0.007448,-0.10509,0.16604,0.12115,0.23131,-0.2265,-0.045597,0.19888,-0.018478,0.10112,-0.092913,-0.011097,0.05314,0.14923,0.012692,-0.14737,-0.1724,-0.14715,-0.041012,-0.053128,-0.0085448,0.12753,-0.11369,0.077782,-0.13894,0.10606,0.067533,0.059071,-0.093931,-0.03175,0.069049,-0.016618,0.030808,0.16232,-0.0022361
"Deoxyribose phosphate",-0.025316,0.072886,-0.11022,0.0020753,-0.035357,0.020061,-0.012775,-0.056113,-0.077966,0.065905,0.07444,-0.14899,0.056754,-0.062537,0.0030825,-0.039535,0.082884,0.06906,-0.00088552,0.043587,-0.11016,0.023652,0.10499,0.11525,0.056955,0.0038541,-0.044709,0.036323,0.054802,-0.061533,-0.029462,0.18584,0.069129,0.079704,-0.069382,0.051877,-0.12253,-0.031835,0.11374,0.014753,0.039224,-0.00096235,-0.096893,-0.0010758,0.066543,-0.070334,-0.01802,0.059031,-0.15848,-0.027343,-0.030505,-0.042901,0.05366,-0.22599,0.065412,0.079717,-0.029252,-0.082611,-0.00063569,0.021939
"Deoxyuridine",-0.0051758,0.029273,0.06911,0.00094816,0.088528,0.02579,0.034509,-0.035084,0.057354,0.022543,0.00137,0.018751,0.030199,0.032107,-0.029372,-0.04131,-0.041792,-0.040843,-0.039125,-0.011782,-0.0055041,-0.020733,0.084893,0.031842,0.097511,0.077907,-0.030871,-0.0038692,-0.093359,0.04672,0.019569,-0.027158,-0.028209,0.054735,-0.029022,0.0056361,-0.064295,0.090726,-0.087906,0.032671,0.083451,-0.048142,0.0097177,0.074491,-0.12973,-0.065386,0.044638,0.029138,0.19443,-0.03241,0.002993,-0.14107,0.080252,0.13688,0.036312,-0.10126,-0.065202,-0.19103,0.098389,-0.091875
"Dihydroorotic acid",0.023688,-0.054597,0.0093893,0.0020535,0.073737,-0.046266,0.0078805,0.06098,0.0010895,0.0072578,0.077793,-0.05792,-0.019283,-0.08289,-0.020455,0.018152,0.0013559,0.20196,0.10977,0.019187,-0.0080705,-0.012959,0.14426,-0.079001,0.16632,-0.14564,-0.20014,0.064901,-0.24159,0.10479,-0.020101,-0.045042,-0.061149,0.18759,-0.099686,0.11642,-0.018821,0.36255,0.046377,0.089647,0.12339,0.058373,0.0065434,-0.047944,0.092759,0.043369,0.14121,-0.091598,-0.051916,0.12125,-0.040153,0.13378,-0.1183,0.047246,-0.054582,0.019998,0.096989,0.14289,-0.064463,-0.098345
